Company Name;Wgt;Corp Tkr;5 Yr CDS Tkr;Spread (bp);spread;adaptspread;adapt2
Equinor ASA;0,8;EQNR;CSTOI1E5;53;53;101,5833333;88,33333333
Telia Co AB;0,8;TELIAS;CTLIA1E5;64;64;122,6666667;106,6666667
Imperial Brands PLC;0,8;IMBLN;CITOB1E5;147;147;281,75;245
Centrica PLC;0,8;CNALN;CT355177;175;175;335,4166667;291,6666667
Telenor ASA;0,8;TELNO;CTELN1E5;65;65;124,5833333;108,3333333
Alstom SA;0,8;ALOFP;CALS1E5 ;292;292;559,6666667;486,6666667
ArcelorMittal SA;0,8;MTNA;CX375736;311;311;596,0833333;518,3333333
PostNL NV;0,8;PNLNA;CTPG1E5 ;177;177;339,25;295
EnBW Energie Baden-Wuerttemberg AG;0,8;ENBW;CT403449;107;107;205,0833333;178,3333333
SES SA;0,8;SESGFP;CT357402;207;207;396,75;345
Fortum Oyj;0,8;FUMVFH;CBIRK1E5;128;128;245,3333333;213,3333333
Mercedes-Benz Group AG;0,8;MBGGR;CDCX1E5 ;125;125;239,5833333;208,3333333
British American Tobacco PLC;0,8;BATSLN;CBAT1E5 ;152;152;291,3333333;253,3333333
Telekom Austria AG;0,8;TKAAV;CTKA1E5 ;62;62;118,8333333;103,3333333
Veolia Environnement SA;0,8;VIEFP;CVIVE1E5;89;89;170,5833333;148,3333333
Sanofi;0,8;SANFP;CAVE1E5 ;53;53;101,5833333;88,33333333
ELO SACA;0,8;ELOFR;CAUCH1E5;287;287;550,0833333;478,3333333
Anglo American PLC;0,8;AALLN;CAALL1E5;220;220;421,6666667;366,6666667
Airbus SE;0,8;AIRFP;CAER1E5 ;149;149;285,5833333;248,3333333
EDP Finance BV;0,8;EDPPL;CT977475;142;142;272,1666667;236,6666667
Enel SpA;0,8;ENELIM;CENEL1E5;191;191;366,0833333;318,3333333
Zurich Insurance Co Ltd;0,8;ZURNVX;CZUR1E5 ;86;86;164,8333333;143,3333333
British Telecommunications PLC;0,8;BRITEL;CBT1E5  ;166;166;318,1666667;276,6666667
GSK PLC;0,8;GSK;CGSK1E5 ;57;57;109,25;95
Compass Group PLC;0,8;CPGLN;CCPG1E5 ;57;57;109,25;95
Credit Agricole SA;0,8;ACAFP;CY360734;114;114;218,5;190
ITV PLC;0,8;ITVLN;CX353646;254;254;486,8333333;423,3333333
Carlsberg Breweries AS;0,8;CARLB;CT354143;57;57;109,25;95
LANXESS AG;0,8;LXSGR;CX403486;229;229;438,9166667;381,6666667
Shell PLC;0,8;SHELLN;CT365980;76;76;145,6666667;126,6666667
Smurfit Kappa Acquisitions ULC;0,8;SKGID;CY101284;153;153;293,25;255
WPP 2005 Ltd;0,8;WPPLN;CWPP1E5 ;151;151;289,4166667;251,6666667
Glencore International AG;0,8;GLENLN;CGLE1E5 ;211;211;404,4166667;351,6666667
Louis Dreyfus Co BV;0,8;LOUDRE;CY189038;207;207;396,75;345
CNH Industrial NV;0,8;CNHI;CY184970;176;176;337,3333333;293,3333333
UBS Group AG;0,8;UBS;CY350672;120;120;230;200
Stellantis NV;0,8;STLA;CFIAT1E5;244;244;467,6666667;406,6666667
Anheuser-Busch InBev SA/NV;0,8;ABIBB;CY021331;90;90;172,5;150
Unilever Finance Netherlands BV;0,8;UNANA;CY503698;N.A.;123;235,75;205
