date;JPY;AUD;INR
16/04/2020;0,004271527;-0,001265222;0,004534072
15/04/2020;0,002235887;0,019278083;0,002243303
14/04/2020;-0,005116528;-0,009357523;0
13/04/2020;-0,00647431;-0,005184208;4,85E-05
10/04/2020;-0,000184366;-0,001418552;0
9/04/2020;-0,003129029;-0,017502436;-0,000457472
8/04/2020;0,000643412;-0,009677495;0,008967277
7/04/2020;-0,004220577;-0,013379217;-0,007222778
6/04/2020;0,0061533;-0,015060276;0
3/04/2020;0,00591335;0,010615459;0,008314283
2/04/2020;0,006881188;0,001648533;0
1/04/2020;-0,003446513;0,009834533;0
31/03/2020;-0,002043661;0,006989057;0,00167198
30/03/2020;-0,001668985;-0,00097229;0,006602554
27/03/2020;-0,015079359;-0,017169909;-0,00313177
26/03/2020;-0,01476543;-0,017302045;-0,012182822
25/03/2020;-0,000179824;-0,000167827;0
24/03/2020;0;-0,020346582;-0,002609761
23/03/2020;0,002700758;-0,009119912;0,014260491
20/03/2020;0,001985202;-0,007286639;0,002196706
19/03/2020;0,024042476;0,005210154;0,010230751
18/03/2020;0,003522109;0,038567593;0,000724683
17/03/2020;0,017515551;0,019312311;-0,000808162
16/03/2020;-0,016772471;0,013961266;0,004977868
13/03/2020;0,028080616;0,005305905;-0,004237077
12/03/2020;0,000956114;0,038998653;0,007793962
11/03/2020;-0,010467314;0,003233508;-0,006007073
10/03/2020;0,031541076;0,012526898;0
9/03/2020;-0,029171744;0,007411363;0,004023742
6/03/2020;-0,007279635;-0,003320758;0,006440482
5/03/2020;-0,012822488;0,001963599;0,001211966
4/03/2020;0,003726828;-0,00650975;-0,001160133
3/03/2020;-0,011139074;-0,007164119;0,007874326
2/03/2020;0,004069934;-0,003371134;0,007710962
28/02/2020;-0,01563394;0,008254403;0,00850561
27/02/2020;-0,007635707;-0,003813015;-0,001361471
26/02/2020;0,002084939;0,009126927;-0,003134799
25/02/2020;-0,004707595;0,000151412;-0,001563722
24/02/2020;-0,00800616;0,003325275;0,004977646
21/02/2020;-0,004380678;-0,001812416;0
20/02/2020;0,006533339;0,009029407;0,00111728
19/02/2020;0,013560143;0,001646584;0
18/02/2020;-9,10E-05;0,004179111;0,003796893
17/02/2020;0,000910498;0;-0,001068283
14/02/2020;-0,000364299;0,000744435;0,000525587
13/02/2020;-0,002455551;0,002675388;-0,000297166
12/02/2020;0,002728763;-0,003419823;0,000928236
11/02/2020;0,000182183;-0,004029555;-8,70E-05
10/02/2020;0,000182216;-0,002095809;-0,001630008
7/02/2020;-0,002184401;0,00850561;0,00296346
6/02/2020;0,001455737;0,002374593;-0,000264024
5/02/2020;0,002826535;-0,001038191;-0,000807088
4/02/2020;0,007607387;-0,006998763;-0,001051746
3/02/2020;0,003133066;0;-7,01E-05
31/01/2020;-0,005614114;0,004472946;-0,001908412
30/01/2020;-0,000550509;0,004749193;0,003310888
29/01/2020;-0,001191731;0,001183782;-0,001227274
28/01/2020;0,002293053;-0,000147896;-0,001418954
27/01/2020;-0,003483366;0,010446648;0,001524089
24/01/2020;-0,001919825;0,002193144;0,000823246
23/01/2020;-0,003191541;-0,000438244;0,001106207
22/01/2020;-0,000273087;0,000146103;-0,000193815
21/01/2020;-0,002817543;0,004082233;0,001388432
20/01/2020;0,000363108;0,0008726;0,0003868
17/01/2020;-0,000181571;0,002758222;0,002095536
16/01/2020;0,002362993;0,00057971;0,001587247
15/01/2020;-0,000818591;0;-0,000777713
14/01/2020;0,000363736;0,000289729;0,000265286
13/01/2020;0,004557893;-0,000434625;-0,001146716
10/01/2020;-0,000639357;-0,006250475;-0,003867682
9/01/2020;0,003658987;0,001165841;-0,006893394
8/01/2020;0,006251169;0,000582411;-0,001688801
7/01/2020;0,000645727;0,010137668;-0,001530275
6/01/2020;0,002587085;0,001439885;0,001929924
3/01/2020;-0,004430913;0,006167989;0,005885069
2/01/2020;-0,001748494;0,003426128;0,002103714
1/01/2020;0,001380135;0,000569882;-0,002121927
31/12/2019;-0,002482874;-0,003853019;0,000911049
30/12/2019;-0,005130096;-0,002003722;-0,000542525
27/12/2019;-0,001734606;-0,005026941;0,000542525
26/12/2019;0,002283002;-0,003606207;0,000614376
25/12/2019;-9,14E-05;0,000288976;0
24/12/2019;-9,14E-05;0;0,001211622
23/12/2019;-0,000365564;-0,003183334;0,000895268
20/12/2019;0,000639825;-0,002031047;0,001195878
19/12/2019;-0,001644437;-0,004803852;0,000897143
18/12/2019;0,000639182;-0,000291886;-3,52E-05
17/12/2019;-0,000639182;0,004950505;-0,000422602
16/12/2019;0,001553008;-0,001308045;0,0026795
13/12/2019;0,000640176;0,004787822;-0,000299332
12/12/2019;0,006884867;-0,004787822;-7,06E-05
11/12/2019;-0,001472754;-0,009791821;-0,001199168
10/12/2019;0,001472754;0,002053991;-0,001690498
9/12/2019;-0,000184213;0,002634662;-0,002179339
6/12/2019;-0,001656391;-0,001023766;-0,001263247
5/12/2019;-0,000919033;0,002192503;-0,003325926
4/12/2019;0,002115041;-0,000292056;-0,002007002
3/12/2019;-0,003216767;-0,004097767;0,000121395
2/12/2019;-0,004668842;-0,008246255;-0,001046025
29/11/2019;-0,000182648;0,001034508;0,001656014
28/11/2019;-0,00027391;0,00088587;0,003760265
27/11/2019;0,004483287;0,00176939;-0,001995205
26/11/2019;0,001101019;-0,001326749;-0,00333325
25/11/2019;0,002481733;0,001032068;0,000225869
22/11/2019;0,000276129;0,000147351;-0,000678846
21/11/2019;0,000184128;0,002354674;-0,000714591
20/11/2019;0,000644716;0,003668114;0,001393437
19/11/2019;-0,001289016;-0,002492853;-0,00181109
18/11/2019;-0,00110355;0,00088054;0,000800654
15/11/2019;0,003498761;-0,004557826;-0,002522326
14/11/2019;-0,003682567;0,007633625;-0,001647967
13/11/2019;-0,00174448;0,000438629;0,008637858
12/11/2019;-0,000366872;0,001460707;0
11/11/2019;-0,00192387;0,001750037;0,002556874
8/11/2019;-0,000183033;0,005086851;0,004499129
7/11/2019;0,002749017;-0,002031636;-0,00038744
6/11/2019;-0,001650317;0,001306526;0,004270117
5/11/2019;0,005327467;-0,001306526;-0,001042037
4/11/2019;0,003598288;0,002901075;-0,000601822
1/11/2019;0,001479974;-0,001449486;-0,001710249
31/10/2019;-0,007561821;0,001304632;0,000458319
30/10/2019;-0,000367411;-0,005520061;0,000759157
29/10/2019;-0,000550863;-0,003940748;-0,000670289
28/10/2019;0,002573294;-0,002196033;0
25/10/2019;0,000552283;-0,000586424;-0,001885687
24/10/2019;-0,000736309;0,004973679;0,00167411
23/10/2019;0,001841791;0,0002918;-0,000530156
22/10/2019;-0,00119755;0,00189463;-0,002902412
21/10/2019;0,001566315;-0,001748762;0
18/10/2019;-0,001934504;-0,004678371;-0,000297928
17/10/2019;-0,000919879;-0,00957086;-0,003769827
16/10/2019;-0,000919033;-0,0008881;-0,001468737
15/10/2019;0,004234564;0,003252516;0,00443095
14/10/2019;0,001015275;0,002800503;0,002934403
11/10/2019;0,002866789;-0,004869062;-0,000755866
10/10/2019;0,004641241;-0,005338883;1,69E-05
9/10/2019;0,003635181;0,000445997;0,000668579
8/10/2019;-0,001586191;0,000742887;0
7/10/2019;0,002987864;0,005627977;0,001973152
4/10/2019;0,000187038;-0,00429217;3,53E-05
3/10/2019;-0,002428773;-0,00520486;-0,002871156
2/10/2019;-0,005304065;-0,000447394;0
1/10/2019;-0,003057965;0,006838142;0,003047526
30/09/2019;0,001481482;0,002071926;0,004313094
27/09/2019;0,000834299;-0,002220085;-0,004472534
26/09/2019;0,000556586;0,000296296;-0,002271723
25/09/2019;0,0065165;0,007379018;0,000298468
24/09/2019;-0,00447303;-0,00412554;0,001180666
23/09/2019;-9,30E-05;-0,00103405;-0,000140964
20/09/2019;-0,004267564;0,003835379;-0,005358792
19/09/2019;-0,003972842;0,005286356;0,001174171
18/09/2019;0,00295503;0,00554989;-0,007551163
17/09/2019;9,25E-05;-0,000145656;0,002597317
16/09/2019;0,000277508;0,002037253;0,009349921
13/09/2019;-9,25E-05;-0,001891598;-0,002921149
12/09/2019;0,002593555;-0,000582751;-0,007387859
11/09/2019;0,002600299;-0,000145741;-0,000576126
10/09/2019;0,002793558;0,000145741;0
9/09/2019;0,002988422;-0,002334404;-0,000260752
6/09/2019;-0,000187038;-0,004538475;-0,001602062
5/09/2019;0,005156342;-0,002644727;-0,003889974
4/09/2019;0,004238691;-0,005458448;-0,003789262
3/09/2019;-0,00282779;-0,006530151;0,013752765
2/09/2019;-0,000376435;0,00252807;0
30/08/2019;-0,00225564;-0,000742887;-0,005359187
29/08/2019;0,003762232;0,000891398;0,000243801
28/08/2019;0,003492711;0,002669437;0,004048803
27/08/2019;-0,003492711;0,003400609;-0,007526042
26/08/2019;0,006902774;-0,002808368;0,004976177
23/08/2019;-0,009913691;0,000148006;-0,002127127
22/08/2019;-0,001689665;0,003545579;0,003593378
21/08/2019;0,003664557;-0,000442511;-0,002112116
20/08/2019;-0,003852121;-0,002067642;0,003737278
19/08/2019;0,002441087;0,002215167;0,004032334
16/08/2019;0,00244706;-0,000590232;-0,001668202
15/08/2019;0,001980852;-0,003993202;0
14/08/2019;-0,007806294;0,007529378;-0,001734056
13/08/2019;0,013582552;-0,006936785;0,008545107
12/08/2019;-0,003696862;0,005022909;0
9/08/2019;-0,003588972;0,00235502;0,001307536
8/08/2019;-0,001883772;-0,006637682;-0,00270083
7/08/2019;-0,00188023;0,000591804;0,000898996
6/08/2019;0,004895971;-0,000739809;0,00130689
5/08/2019;-0,006022414;0,006638661;0,016032836
2/08/2019;-0,007011668;-0,000147048;0,007932829
1/08/2019;-0,013326127;0,006595847;0,003735746
31/07/2019;0,00156401;0,003936726;-0,000816527
30/07/2019;-0,00156401;0,00435604;0,001870862
29/07/2019;0,000919709;0,00130312;-0,002560467
26/07/2019;0,000460172;0,005771189;-0,002012379
25/07/2019;0,004058672;0,003733491;0,000869408
24/07/2019;-0,000369652;0,004005155;0,000543764
23/07/2019;0,003331794;0,004415647;0,000362674
22/07/2019;0,001484368;0,000852394;0,001652555
19/07/2019;0,003813781;0,004675223;-0,002269021
18/07/2019;-0,006039507;-0,009229742;0,002104806
